kwan_name,room,floor,room_image,room_type,details
새천년관,7407,4,,, 교수연구실 
새천년관,7408,4,,, 교수연구실 
새천년관,7409,4,,, 교수연구실 
새천년관,7410,4,,, 교수연구실 
새천년관,7411,4,,, 교수연구실 
새천년관,7412,4,,, 교수연구실 
새천년관,7413,4,,, 교수연구실 
새천년관,7414,4,,, 교수연구실 
새천년관,7415,4,,, 교수연구실 
새천년관,7416,4,,, 교수연구실 
새천년관,7417-B,1,,, 휴게실 
새천년관,7102,1,,, 인문학부방 
새천년관,7103,1,,, IT학부방 
새천년관,7104,1,,, 미콘학부방 
새천년관,7108,1,,, 사회융합자율학부 
새천년관,7105,1,,, job까페 
새천년관,7106,1,,, 언론매체실 
새천년관,7109,1,,, 컴퓨터교육실 
새천년관,7101,1,,, 건강증진센터 
나눔관,5C105,1,,, 미화원휴게실 
나눔관,5C103,1,,, 연습실 
나눔관,5A101,1,,, 동아리실 
나눔관,5A102,1,,, 동아리실 
나눔관,5A103,1,,, 동아리실 
나눔관,5A104,1,,, 동아리실 
나눔관,5A105,1,,, 동아리실 
나눔관,5A106,1,,, 동아리실 
나눔관,5A107,1,,, 동아리실 
나눔관,5A108,1,,, 동아리실 
나눔관,5A109,1,,, 동아리실 
나눔관,5A110,1,,, 동아리실 
나눔관,5A111,1,,, 동아리실 
나눔관,5A112,1,,, 동아리실 
나눔관,5A113,1,,, 동아리실 
나눔관,5A114,1,,, 동아리실 
나눔관,5A201,2,,, 우체국 
나눔관,5A202,2,,, 글로벌 라운지 
나눔관,5A203,2,,, 복사실 
나눔관,5A205,2,,, 인문융합콘텐츠학부 1 
나눔관,5A206,2,,, 미래융합학부 1 
나눔관,5A207,2,,, 경영학부 2 
나눔관,5A208,2,,, 미디어콘텐츠융합학부 2 
나눔관,5A209,2,,, 사회융합학부 2 
나눔관,5A210,2,,, 미래융합학부 2 
나눔관,5A211,2,,, 인문융합콘텐츠학부 2 
나눔관,5A212,2,,, 소프트웨어융합학부 2 
나눔관,5A213,2,,, 학부공동학생회실 2 
나눔관,5B101,1,,, 동아리연합회 
나눔관,5B102,1,,, 인권위원회 
나눔관,5B103,1,,, 총학생회 
나눔관,5B201,2,,, 동아리실 
나눔관,5B202,2,,, 동아리실 
나눔관,5B203,2,,, 남학우휴게실 
나눔관,5B204,2,,, 동아리실 
나눔관,5B205,2,,, 동아리실 
나눔관,5B206,2,,, 동아리실 
나눔관,5C101,1,,, 동아리실 
나눔관,5C102,1,,, 동아리실 
나눔관,5C104,1,,, 동아리실 
나눔관,5C201,2,,, 자연드림 
나눔관,5C202,2,,,
나눔관,5C203,2,,,
나눔관,5C206,2,,,
나눔관,5C204,2,,, 사회융합학부 1 
나눔관,5C205,2,,, 소프트웨어융합학부 1 
나눔관,5C302,3,,, 경영학부 1 
나눔관,5C303,3,,, 미디어콘텐츠융합학부 1 
나눔관,5C304,3,,, 학부공동학생회실 1 
중앙도서관,8101,1,,, 학생복지처 
중앙도서관,8102,1,,, Global lounge 
중앙도서관,8103,1,,, 자료열람실1/콜라보레이션 존 
중앙도서관,8201,2,,, 민주화운동자료관 
중앙도서관,8202,2,,, Cinema space 
중앙도서관,8203,2,,, 사무실(자유열람실) 
중앙도서관,8301,3,,, 역사자료실 
중앙도서관,8303,3,,, 자료열람실3 
중앙도서관,8403,4,,, 자료열람실4 
중앙도서관,8B101,1,,, 자료열람실 1(동아시아 연구소) 
중앙도서관,8B102,1,,, 보존 서고 
성미가엘성당&피츠버그홀,9201,2,,, 교목사무실 
성미가엘성당&피츠버그홀,9202,2,,, 교목실 
성미가엘성당&피츠버그홀,9203,2,,, 신학대학원실습실(예복실) 
성미가엘성당&피츠버그홀,9204,2,,, 신학대학원실습실(기도실) 
성미가엘성당&피츠버그홀,9B101,1,,, 음악 연습실 
일만관,2103,1,,, 여학생회 및 휴게실 
일만관,2A101,1,,, 세미나실 Ⅰ 
일만관,2A102,1,,, 세미나실 Ⅱ 
일만관,2A203,2,,, ESG 경영연구소 
일만관,2B201,2,,, 정보통신연구소 
일만관,2B202,2,,, 사회적기업센터 
일만관,2B203,2,,, 교수연구실 
일만관,2B204,2,,, 사회복지연구소 
일만관,2B303,3,,, 노동사연구소/자료실 
일만관,2B304,3,,, 노동사연구소자료실-2B305재 
일만관,2B402,4,,, 동아시아연구소 
일만관,2B105,1,,, 컴퓨터 실습실 
일만관,2A202,2,,, 연구처/평생교육원 
일만관,2A404,4,,, 비정규교수노조실 
일만관,2A301,3,,, 교수연구실 
일만관,2A302,3,,, 교수연구실 
일만관,2A303,3,,, 동물권사회생태전환연구소 
일만관,2A304,3,,, 교수연구실 
일만관,2A305,3,,, 교수연구실 
일만관,2A306,3,,, 전자계산소 
일만관,2A401,4,,, 민주주의연구소 
일만관,2A402,4,,, 민주주의연구소(창고) 
일만관,2A403,4,,, 교수연구실 
일만관,2A405,4,,, 교수연구실 
일만관,2B301,3,,, 평화월딩연구소 
일만관,2B302,3,,, 교수연구실 
일만관,2A501A,5,,,  
일만관,2A501B,5,,,  
일만관,2A501C,5,,,  
일만관,2A501D,5,,,  
월당관,3103,1,,, 음악 실습실 
월당관,3104,1,,, 음악 실습실 
월당관,3201,2,,, 도서관 자유열람실 
월당관,3202,2,,, 도서관 자유열람실 
월당관,3102,1,,, 창고 
월당관,3101,1,,, 컴퓨터 A/S실 실습실 
미가엘관,M101,1,,, 밥풀 
미가엘관,M102,1,,, 멋짐 
미가엘관,M408,4,,, 직원휴게실 
미가엘관,M501,5,,, 기숙사 
미가엘관,M502,5,,, 기숙사 
미가엘관,M503,5,,, 기숙사 
미가엘관,M504,5,,, 기숙사 
미가엘관,M505,5,,, 기숙사 
미가엘관,M506,5,,, 기숙사 
미가엘관,M507,5,,, 기숙사 
미가엘관,M508,5,,, 기숙사 
미가엘관,M509,5,,, 기숙사 
미가엘관,M510,5,,, 기숙사 
미가엘관,M511,5,,, 기숙사 
미가엘관,M512,5,,, 기숙사 
미가엘관,M513,5,,, 기숙사 
미가엘관,M514,5,,, 기숙사 
미가엘관,M515,5,,, 기숙사 
미가엘관,M516,5,,, 기숙사 
미가엘관,M517,5,,, 탕비실/세탁실 
미가엘관,M518,5,,,  휴게실 
미가엘관,M601,6,,, 기숙사 
미가엘관,M602,6,,, 기숙사 
미가엘관,M603,6,,, 기숙사 
미가엘관,M604,6,,, 기숙사 
미가엘관,M605,6,,, 기숙사 
미가엘관,M606,6,,, 기숙사 
미가엘관,M607,6,,, 기숙사 
미가엘관,M608,6,,, 기숙사 
미가엘관,M609,6,,, 기숙사 
미가엘관,M610,6,,, 기숙사 
미가엘관,M611,6,,, 기숙사 
미가엘관,M612,6,,, 기숙사 
미가엘관,M613,6,,, 기숙사 
미가엘관,M614,6,,, 기숙사 
미가엘관,M615,6,,, 기숙사 
미가엘관,M616,6,,, 기숙사 
미가엘관,M617,6,,, 기숙사 
미가엘관,M618,6,,, 휴게실 
미가엘관,M701,7,,, 기숙사 
미가엘관,M702,7,,, 기숙사 
미가엘관,M703,7,,, 기숙사 
미가엘관,M704,7,,, 기숙사 
미가엘관,M705,7,,, 기숙사 
미가엘관,M706,7,,, 기숙사 
미가엘관,M707,7,,, 기숙사 
미가엘관,M708,7,,, 기숙사 
미가엘관,M709,7,,, 기숙사 
미가엘관,M710,7,,, 기숙사 
미가엘관,M711,7,,, 기숙사 
미가엘관,M712,7,,, 기숙사 
미가엘관,M713,7,,, 기숙사 
미가엘관,M714,7,,, 기숙사 
미가엘관,M715,7,,, 기숙사 
미가엘관,M716,7,,, 기숙사 
미가엘관,M717,7,,, 탕비실/세탁실 
미가엘관,M718,7,,,  휴게실 
미가엘관,M801,8,,, 기숙사 
미가엘관,M802,8,,, 기숙사 
미가엘관,M803,8,,, 기숙사 
미가엘관,M804,8,,, 기숙사 
미가엘관,M805,8,,, 기숙사 
미가엘관,M806,8,,, 기숙사 
미가엘관,M807,8,,, 커뮤니티룸 
미가엘관,M808,8,,, 기숙사 (회의실) 
미가엘관,M810,8,,, 기숙사 
미가엘관,M811,8,,, 기숙사 
미가엘관,M812,8,,, 기숙사 
미가엘관,M813,8,,, 기숙사 
미가엘관,M814,8,,, 신학연구원 
미가엘관,M809,8,,, 신학대학원실습실(기도실) 
미가엘관,M206,2,,," 관리실(통신/기계/기숙사관리,안내실 "
미가엘관,M405,4,,, 미화원 휴게실 
미가엘관,M201,2,,,  
미가엘관,M202,2,,,  
미가엘관,M203,2,,,  
미가엘관,M204,2,,,  
정보과학관,6101,1,,, 장애학생실습실 
정보과학관,6203,2,,, SERVER실 
정보과학관,6204,2,,, 컴퓨터실습실 
정보과학관,6104,1,,, 미디어센터 
정보과학관,6105,1,,, 미디어센터 
정보과학관,6107,1,,, 미디어 실습실 
정보과학관,6600,6,,, 프리젠테이션 실습실 
정보과학관,6106,1,,, IT학부 컴퓨터실습실 
정보과학관,6407,4,,, 글로컬IT학과프로젝트실 
정보과학관,6102,1,,, 대학혁신지원사업단 
정보과학관,6306,3,,, 교수연구실 
정보과학관,6301,3,,, 교수휴계실 
정보과학관,6302,3,,, 교수연구실 
정보과학관,6303,3,,, 교수연구실 
정보과학관,6304,3,,, 교수연구실 
정보과학관,6305,3,,, 교수연구실 
정보과학관,6307,3,,, 교수연구실 
정보과학관,6308,3,,, 교수연구실 
정보과학관,6309,3,,, 교수연구실 
정보과학관,6310,3,,, 교수연구실 
정보과학관,6311,3,,, 교수연구실 
정보과학관,6312,3,,, 교수연구실 
정보과학관,6313,3,,, 교수연구실 
정보과학관,6314,3,,, 교수연구실 
정보과학관,6315,3,,, 교수연구실 
정보과학관,6316,3,,, 교수연구실 
정보과학관,6317,3,,, 교수연구실 
정보과학관,6318,3,,, 교수연구실 
정보과학관,6319,3,,, 교수연구실 
정보과학관,6320,3,,, 교수연구실 
정보과학관,6321,3,,, 교수연구실 
정보과학관,6601,6,,, 교수연구실 
정보과학관,6603,6,,, 교수연구실 
정보과학관,6500,5,,, 존데일리홀 
승연관,1404,4,,, 문화대학원  
승연관,1408,4,,, 대학원 공동 연구실 - 1  
승연관,1410,4,,, 대학원휴게실 (카페) 
승연관,1419,4,,, 대학원 공동연구실 - 2 
승연관,1401,4,,, 대학원 공동 연구실 
승연관,1102,1,,, 미화휴게실 
승연관,1105,1,,, 건축실 
승연관,1107,1,,, 회의실 
승연관,1108,1,,, 총무처장실 
승연관,1109,1,,, 예비군대대본부 
승연관,1110,1,,," 총무처 (총무행정, 회계팀, 시설팀) "
승연관,1201,2,,, 교무처/대학원교학처 
승연관,1202,2,,, 입학홍보처장실 
승연관,1203,2,,, 학생상담센터 
승연관,1204,2,,, 학생상담센터 
승연관,1205,2,,, 교수학습개발센터 상담실 
승연관,1206,2,,, 국제교류처 
승연관,1207,2,,, 입학홍보처 
승연관,1301,3,,, 교수연구실 
승연관,1302,3,,, 교수연구실 
승연관,1303,3,,, 교수연구실 
승연관,1307,3,,, 법인사무국 회의실 
승연관,1309,3,,, 기획처 
승연관,1310,3,,, 비서실 
승연관,1311,3,,, 기획처장실 
승연관,1312,3,,, 총장실/부총장실 
승연관,1402,4,,, 노조사무실 
승연관,1403,4,,, 교수연구실 
승연관,1304,3,,, 교수연구실 
승연관,1308,3,,, 법인사무국 
승연관,1305,3,,, 대학발전실 
승연관,1306,3,,, 대외부총장실 
승연관,1405,4,,, 외래교수공동연구실 
승연관,1406,4,,, 세미나실 
승연관,1407,4,,, 세미나실 
