kind,code,class_name,prof,room1,room2,date1,date2,start,end,kwan
전선,DJ00048,K-pop과문화연구,방희경,7308,7308,화,목,13:30,14:45,새천년관
전선,DJ00049,한국영화사,방희경,7308,7308,화,목,12:00,13:15,새천년관
전선,DJ00050,스포츠콘텐츠이해와실습,정윤수,3402,,목,,12:00,14:50,월당관
전선,DJ00051,과학기술시대의문화읽기,임연경,3402,,수,,12:00,14:50,월당관
전선,DJ00060,광고론,김인혜,7107,,월,,12:00,14:50,새천년관
전선,DJ00061,미디어와다문화감수성,김형신,3402,,월,,12:00,14:50,월당관
전선,DJ00062,매스컴이론,이준형,3402,,목,,09:00,11:50,월당관
전선,DJ00068,도시문화의이해,정윤수,7308,7308,월,수,13:30,14:45,새천년관
전선,DJ00069,AI와지적재산권,윤장열,7308,,목,,09:00,11:50,새천년관
전선,DJ00070,인터렉티브미디어,윤장열,7308,,금,,15:00,17:50,새천년관
전선,DJ00071,"AI미디어,문화,리터러시",송원숙,7308,,수,,15:00,17:50,새천년관
전선,DJ00072,문화연구와문화이론,홍남희,7107,,금,,09:00,11:50,새천년관
전선,DJ00073,창의적말하기와글쓰기,김영빈,7308,,금,,12:00,14:50,새천년관
전선,DJ00074,콘텐츠유니버스설계,원장경,3401,,목,,15:00,17:50,월당관
전선,DP00008,웹드라마비평,강인,7305,,목,,09:00,11:50,새천년관
전선,DP00010,프로듀싱의이해,강나영,M401,,수,,12:00,14:50,미가엘관
전필,DD00018,게임제작,김대우,6403,,수,,09:00,11:50,정보과학관
전선,DD00021,고급영상합성,양형석,6403,,월,,12:00,14:50,정보과학관
전선,DD00037,코딩으로배우는미디어아트,김대우,6403,,화,,15:00,17:50,정보과학관
전필,DD00040,3D모델링,이원정,6403,,목,,09:00,11:50,정보과학관
전필,DD00042,디지털이미지비평,박남기,3301,,화,,09:00,11:50,월당관
전선,DD00044,기초게임엔진,박남기,M401,,목,,09:00,11:50,미가엘관
전선,DD00046,디지털콘텐츠기획,정은주,1504,,금,,15:00,17:50,승연관
전필,DD00050,캡스톤디자인-콘텐츠제작프로젝트2,이원정,7706,,금,,15:00,18:50,새천년관
전필,DD00050,캡스톤디자인-콘텐츠제작프로젝트2,이영아,6402,,금,,15:00,18:50,정보과학관
전필,DD00051,디지털페인팅,미지정(채용중),6403,,금,,12:00,14:50,정보과학관
전선,DD00058,게임산업과e스포츠,정중호,6403,,월,,09:00,11:50,정보과학관
전선,DD00059,숏폼콘텐츠제작실습,이병준,6403,,월,,15:00,17:50,정보과학관
전필,DD00063,디지털기초디자인,오세현,6403,,화,,09:00,11:50,정보과학관
전선,DD00065,광고크리에이티브디자인,주진식,M401,,금,,12:00,14:50,미가엘관
전선,DD00067,언리얼엔진기반의효율적디지털휴먼제작,이진욱,B105,,목,,09:00,11:50,일만관
전선,DD00068,예능작가실무워크숍,김희수,6403,,금,,15:00,17:50,정보과학관
전선,DD00070,팬덤문화온라인마케팅,최원준,7304,,화,,12:00,14:50,새천년관
전필,DD00071,웹툰콘텐츠디자인입문,호중훈,6403,,목,,15:00,17:50,정보과학관
전필,DD00074,AI브랜드&컨셉디자인,미지정(채용중),6403,,수,,12:00,14:50,정보과학관
전필,DD00075,기초촬영실무,오세현,6403,,금,,09:00,11:50,정보과학관
전필,DD00076,다큐멘터리제작워크숍,오세현,6402,,화,,15:00,17:50,정보과학관
전선,DD00077,디지털뮤직콘텐츠:AI제작에서글로벌마케팅까지,길대호,6403,,화,,12:00,14:50,정보과학관
전선,DD00078,뉴미디어기초조형,김대우,6403,,목,,12:00,14:50,정보과학관
전필,DP00006,영상제작실습2,연희승,M401,,수,,09:00,11:50,미가엘관
전필,DP00007,1인제작과아이디어,연희승,M401,,화,,09:00,11:50,미가엘관
전선,DP00016,영상매체와정치그리고경제,최진봉,7305,,월,,09:00,11:50,새천년관
전선,DP00017,영상미디어이론과비평,최진봉,9990,,수,,09:00,11:50,성미가엘성당&피츠버그홀
