kwan_name,room,floor,room_image,room_type
새천년관,7417-B(휴게실),4,,
새천년관,7102(인문학부방),1,,
새천년관,7103(IT학부방),1,,
새천년관,7104(미콘학부방),1,,
새천년관,7108(사회융합자율학부),1,,
새천년관,7105(job까페),1,,
새천년관,7106(언론매체실),1,,
새천년관,7109(컴퓨터교육실),1,,
새천년관,7101(건강증진센터),1,,
새천년관,안내실(경비실),1,,
나눔관,5C105(미화원휴게실),1,,
나눔관,5C103(연습실),1,,
나눔관,5A101(동아리실),1,,
나눔관,5A102(동아리실),1,,
나눔관,5A103(동아리실),1,,
나눔관,5A104(동아리실),1,,
나눔관,5A105(동아리실),1,,
나눔관,5A106(동아리실),1,,
나눔관,5A107(동아리실),1,,
나눔관,5A108(동아리실),1,,
나눔관,5A109(동아리실),1,,
나눔관,5A110(동아리실),1,,
나눔관,5A111(동아리실),1,,
나눔관,5A112(동아리실),1,,
나눔관,5A113(동아리실),1,,
나눔관,5A114(동아리실),1,,
나눔관,5A201(우체국),2,,
나눔관,5A202(글로벌라운지),2,,
나눔관,5A203(복사실),2,,
나눔관,5A205(인문융합콘텐츠학부1),2,,
나눔관,5A206(미래융합학부1),2,,
나눔관,5A207(경영학부2),2,,
나눔관,5A208(미디어콘텐츠융합학부2),2,,
나눔관,5A209(사회융합학부2),2,,
나눔관,5A210(미래융합학부2),2,,
나눔관,5A211(인문융합콘텐츠학부2),2,,
나눔관,5A212(소프트웨어융합학부2),2,,
나눔관,5A213(학부공동학생회실2),2,,
나눔관,5B101(동아리연합회),1,,
나눔관,5B102(인권위원회),1,,
나눔관,5B103(총학생회),1,,
나눔관,5B201(동아리실),2,,
나눔관,5B202(동아리실),2,,
나눔관,5B203(남학우휴게실),2,,
나눔관,5B204(동아리실),2,,
나눔관,5B205(동아리실),2,,
나눔관,5B206(동아리실),2,,
나눔관,5C101(동아리실),1,,
나눔관,5C102(동아리실),1,,
나눔관,5C104(동아리실),1,,
나눔관,5C201(자연드림),2,,
나눔관,,2,,
나눔관,,2,,
나눔관,,2,,
나눔관,5C204(사회융합학부1),2,,
나눔관,5C205(소프트웨어융합학부1),2,,
나눔관,5C302(경영학부1),3,,
나눔관,5C303(미디어콘텐츠융합학부1),3,,
나눔관,5C304(학부공동학생회실1),3,,
중앙도서관,8101(학생복지처),1,,
중앙도서관,8102(Globallounge),1,,
중앙도서관,8103(자료열람실1/콜라보레이션존),1,,
중앙도서관,8201(민주화운동자료관),2,,
중앙도서관,8202(Cinemaspace),2,,
중앙도서관,8203(사무실(자유열람실)),2,,
중앙도서관,8301(역사자료실),3,,
중앙도서관,8303(자료열람실3),3,,
중앙도서관,8403(자료열람실4),4,,
중앙도서관,8B101(자료열람실1(동아시아연구소)),1,,
중앙도서관,8B102(보존서고),1,,
성미가엘성당&피츠버그홀,9201(교목사무실),2,,
성미가엘성당&피츠버그홀,9202(교목실),2,,
성미가엘성당&피츠버그홀,9203(신학대학원실습실(예복실)),2,,
성미가엘성당&피츠버그홀,9204(신학대학원실습실(기도실)),2,,
성미가엘성당&피츠버그홀,9B101(음악연습실),1,,
일만관,2103(여학생회및휴게실),1,,
일만관,2A101(세미나실Ⅰ),1,,
일만관,2A102(세미나실Ⅱ),1,,
일만관,2A203(ESG경영연구소),2,,
일만관,2B201(정보통신연구소),2,,
일만관,2B202(사회적기업센터),2,,
일만관,2B203(교수연구실),2,,
일만관,2B204(사회복지연구소),2,,
일만관,2B303(노동사연구소/자료실),3,,
일만관,2B304(노동사연구소자료실-2B305재),3,,
일만관,2B402(동아시아연구소),4,,
일만관,2B105(컴퓨터실습실),1,,
일만관,2A202(연구처/평생교육원),2,,
일만관,2A404(비정규교수노조실),4,,
일만관,2A301(교수연구실),3,,
일만관,2A302(교수연구실),3,,
일만관,2A303(동물권사회생태전환연구소),3,,
일만관,2A304(교수연구실),3,,
일만관,2A305(교수연구실),3,,
일만관,2A306(전자계산소),3,,
일만관,2A401(민주주의연구소),4,,
일만관,2A402(민주주의연구소(창고)),4,,
일만관,2A403(교수연구실),4,,
일만관,2A405(교수연구실),4,,
일만관,2B301(평화월딩연구소),3,,
일만관,2B302(교수연구실),3,,
일만관,2A501A(강의실),5,,
일만관,2A501B(강의실),5,,
일만관,2A501C(강의실),5,,
일만관,2A501D(강의실),5,,
월당관,3103(음악실습실),1,,
월당관,3104(음악실습실),1,,
월당관,3201(도서관자유열람실),2,,
월당관,3202(도서관자유열람실),2,,
월당관,3102(창고),1,,
월당관,3101(컴퓨터A/S실실습실),1,,
미가엘관,M101(밥풀),1,,
미가엘관,M102(멋짐),1,,
미가엘관,M408(직원휴게실),4,,
미가엘관,M501(기숙사),5,,
미가엘관,M502(기숙사),5,,
미가엘관,M503(기숙사),5,,
미가엘관,M504(기숙사),5,,
미가엘관,M505(기숙사),5,,
미가엘관,M506(기숙사),5,,
미가엘관,M507(기숙사),5,,
미가엘관,M508(기숙사),5,,
미가엘관,M509(기숙사),5,,
미가엘관,M510(기숙사),5,,
미가엘관,M511(기숙사),5,,
미가엘관,M512(기숙사),5,,
미가엘관,M513(기숙사),5,,
미가엘관,M514(기숙사),5,,
미가엘관,M515(기숙사),5,,
미가엘관,M516(기숙사),5,,
미가엘관,M517(탕비실/세탁실),5,,
미가엘관,M518(휴게실),5,,
미가엘관,M601(기숙사),6,,
미가엘관,M602(기숙사),6,,
미가엘관,M603(기숙사),6,,
미가엘관,M604(기숙사),6,,
미가엘관,M605(기숙사),6,,
미가엘관,M606(기숙사),6,,
미가엘관,M607(기숙사),6,,
미가엘관,M608(기숙사),6,,
미가엘관,M609(기숙사),6,,
미가엘관,M610(기숙사),6,,
미가엘관,M611(기숙사),6,,
미가엘관,M612(기숙사),6,,
미가엘관,M613(기숙사),6,,
미가엘관,M614(기숙사),6,,
미가엘관,M615(기숙사),6,,
미가엘관,M616(기숙사),6,,
미가엘관,M617(기숙사),6,,
미가엘관,M618(휴게실),6,,
미가엘관,M701(기숙사),7,,
미가엘관,M702(기숙사),7,,
미가엘관,M703(기숙사),7,,
미가엘관,M704(기숙사),7,,
미가엘관,M705(기숙사),7,,
미가엘관,M706(기숙사),7,,
미가엘관,M707(기숙사),7,,
미가엘관,M708(기숙사),7,,
미가엘관,M709(기숙사),7,,
미가엘관,M710(기숙사),7,,
미가엘관,M711(기숙사),7,,
미가엘관,M712(기숙사),7,,
미가엘관,M713(기숙사),7,,
미가엘관,M714(기숙사),7,,
미가엘관,M715(기숙사),7,,
미가엘관,M716(기숙사),7,,
미가엘관,M717(탕비실/세탁실),7,,
미가엘관,M718(휴게실),7,,
미가엘관,M801(기숙사),8,,
미가엘관,M802(기숙사),8,,
미가엘관,M803(기숙사),8,,
미가엘관,M804(기숙사),8,,
미가엘관,M805(기숙사),8,,
미가엘관,M806(기숙사),8,,
미가엘관,M807(커뮤니티룸),8,,
미가엘관,M808(기숙사(회의실)),8,,
미가엘관,M810(기숙사),8,,
미가엘관,M811(기숙사),8,,
미가엘관,M812(기숙사),8,,
미가엘관,M813(기숙사),8,,
미가엘관,M814(신학연구원),8,,
미가엘관,M809(신학대학원실습실(기도실)),8,,
미가엘관,"M206(관리실(통신/기계/기숙사관리,안내실)",2,,
미가엘관,M405(미화원휴게실),4,,
미가엘관,M201(강의실),2,,
미가엘관,M202(강의실),2,,
미가엘관,M203(강의실),2,,
미가엘관,M204(강의실),2,,
정보과학관,6101(장애학생실습실),1,,
정보과학관,6203(SERVER실),2,,
정보과학관,6204(컴퓨터실습실),2,,
정보과학관,6104(미디어센터),1,,
정보과학관,6105(미디어센터),1,,
정보과학관,6107(미디어실습실),1,,
정보과학관,6600(프리젠테이션실습실),6,,
정보과학관,6106(IT학부컴퓨터실습실),1,,
정보과학관,6407(글로컬IT학과프로젝트실),4,,
정보과학관,안내실(방호실),2,,
정보과학관,6102(대학혁신지원사업단),1,,
정보과학관,6306(교수연구실),3,,
정보과학관,6301(교수휴계실),3,,
정보과학관,6302(교수연구실),3,,
정보과학관,6303(교수연구실),3,,
정보과학관,6304(교수연구실),3,,
정보과학관,6305(교수연구실),3,,
정보과학관,6307(교수연구실),3,,
정보과학관,6308(교수연구실),3,,
정보과학관,6309(교수연구실),3,,
정보과학관,6310(교수연구실),3,,
정보과학관,6311(교수연구실),3,,
정보과학관,6312(교수연구실),3,,
정보과학관,6313(교수연구실),3,,
정보과학관,6314(교수연구실),3,,
정보과학관,6315(교수연구실),3,,
정보과학관,6316(교수연구실),3,,
정보과학관,6317(교수연구실),3,,
정보과학관,6318(교수연구실),3,,
정보과학관,6319(교수연구실),3,,
정보과학관,6320(교수연구실),3,,
정보과학관,6321(교수연구실),3,,
정보과학관,6601(교수연구실),6,,
정보과학관,6603(교수연구실),6,,
정보과학관,6500(존데일리홀),5,,
승연관,1404(문화대학원),4,,
승연관,1408(대학원공동연구실-1),4,,
승연관,1410(대학원휴게실(카페)),4,,
승연관,1419(대학원공동연구실-2),4,,
승연관,1401(대학원공동연구실),4,,
승연관,1102(미화휴게실),1,,
승연관,1105(건축실),1,,
승연관,1107(회의실),1,,
승연관,1108(총무처장실),1,,
승연관,1109(예비군대대본부),1,,
승연관,"1110(총무처(총무행정,회계팀,시설팀))",1,,
승연관,1201(교무처/대학원교학처),2,,
승연관,1202(입학홍보처장실),2,,
승연관,1203(학생상담센터),2,,
승연관,1204(학생상담센터),2,,
승연관,1205(교수학습개발센터상담실),2,,
승연관,1206(국제교류처),2,,
승연관,1207(입학홍보처),2,,
승연관,1301(교수연구실),3,,
승연관,1302(교수연구실),3,,
승연관,1303(교수연구실),3,,
승연관,1307(법인사무국회의실),3,,
승연관,1309(기획처),3,,
승연관,1310(비서실),3,,
승연관,1311(기획처장실),3,,
승연관,1312(총장실/부총장실),3,,
승연관,1402(노조사무실),4,,
승연관,1403(교수연구실),4,,
승연관,1304(교수연구실),3,,
승연관,1308(법인사무국),3,,
승연관,1305(대학발전실),3,,
승연관,1306(대외부총장실),3,,
승연관,1405(외래교수공동연구실),4,,
승연관,1406(세미나실),4,,
승연관,1407(세미나실),4,,
